1;1.1.69;Textual-Numerica;Var0098;q1_p11_r8;;Ate que ano?;Relacionado na coluna C
1;1.1.70;categorica exclusiva;Var0099;q1_p11_r9;q1_p11_r10;Atualmente estuda?;Relacionado na coluna C
1;1.2;Categorica variada;Var0100;;;Quem e responsavel pela unidade familiar? ;Relacionado na coluna C
1;1.2.1;Textual;Var0101;q1_p12_r1;;Nome;Relacionado na coluna C
1;1.2.2;categorica exclusiva;Var0102;q1_p12_r2;q1_p12_r3;Sexo;Relacionado na coluna C
1;1.2.3;Textual;Var0103;q1_p13_r1;;Nome;Relacionado na coluna C
1;1.2.4;categorica exclusiva;Var0104;q1_p13_r2;q1_p13_r3;Sexo;Relacionado na coluna C
1;1.2.5;Textual;Var0105;q1_p14_r1;;Nome;Relacionado na coluna C
1;1.2.6;categorica exclusiva;Var0106;q1_p14_r2;q1_p14_r3;Sexo;Relacionado na coluna C
1;1.2.7;Textual;Var0107;q1_p15_r1;;Nome;Relacionado na coluna C
1;1.2.8;categorica exclusiva;Var0108;q1_p15_r2;q1_p15_r3;Sexo;Relacionado na coluna C
1;2;categorica exclusiva;Var0109;q2_p1;;Algum dos seus filhos / irmaos nao vive mais na comunidade?;Relacionado na coluna C
1;2.1;Textual-Numerica;Var0110;q2_p2_r1;;Se sim Quantos?;
1;2.2;categorica exclusiva;Var0111;q2_p3;;Se sim, por que? ( ) para trabalhar (  ) para buscar oportunidade (  ) para ter acesso a serviÃ§os basico  (  ) casou-se com alguem (  ) aposentou  (   ) outros.;Relacionado na coluna C
1;2.2;Textual-Numerica;Var0112;q2_p3_r7;;Algum dos seus filhos / irmÃ£os nÃ£o vive mais na comunidade? Outros;Relacionado na coluna C
1;3.1;categorica exclusiva;Var0113;q3_p1;;Voce e proprietario do terreno onde mora? ;Relacionado na coluna C
1;3.2;categorica exclusiva;Var0114;q3_p2;;Se sim, qual foi a forma de aquisiÃ§ao?;Relacionado na coluna C
1;3.3;categorica exclusiva;Var0115;q3_p3;;Se nao, qual e o seu vinculo com o proprietario do terreno?;Relacionado na coluna C
1;4;categorica exclusiva;Var0116;q4_p1;;Qual e a forma de abastecimento de energia eletrica na sua casa? ;Relacionado na coluna C
1;4;Textual-Numerica;Var0117;q4_p1_r6;;Qual Ã© a forma de abastecimento de energia elÃ©trica na sua casa?  Outros;Relacionado na coluna C
1;5;categorica exclusiva;Var0118;q5_p1;;Como e feito o abastecimento de agua da sua casa?;Relacionado na coluna C
1;5;Textual-Numerica;Var0119;q5_p1_r6;;Como Ã© feito o abastecimento de Ã¡gua da sua casa? Outros;Relacionado na coluna C
1;6;categorica exclusiva;Var0120;q6_p1;;Como e tratada a agua para beber na sua casa?;Relacionado na coluna C
1;6;Textual-Numerica;Var0121;q6_p1_r5;;Como Ã© tratada a Ã¡gua para beber na sua casa? Outros;Relacionado na coluna C
