1;1.1.10x7;Categorica exclusiva;Var0098;q1_p11_r9;;Atualmente estuda? _ Sim _ N‹o
1;1.2;N‹o h‡ (enunciado de quest‹o);N‹o h‡ (enunciado de quest‹o);;;Quem _ respons‡vel pela unidade familiar?
1;1.2.1x1;Textual-numerica;Var0099;q1_p12_r1;;Parentesco/V’nculo: __________
1;1.2.1x2;Categorica exclusiva;Var0100;q1_p12_r2;;Sexo: _ M _ F
1;1.2.2x1;Textual-numerica;Var0101;q1_p13_r1;;Parentesco/V’nculo: __________
1;1.2.2x2;Categorica exclusiva;Var0102;q1_p13_r2;;Sexo: _ M _ F
1;1.2.3x1;Textual-numerica;Var0103;q1_p14_r1;;Parentesco/V’nculo: __________
1;1.2.3x2;Categorica exclusiva;Var0104;q1_p14_r2;;Sexo: _ M _ F
1;1.2.4x1;Textual-numerica;Var0105;q1_p15_r1;;Parentesco/V’nculo: __________
1;1.2.4x2;Categorica exclusiva;Var0106;q1_p15_r2;;Sexo: _ M _ F
1;2.1;Categorica exclusiva;Var0107;q2_p1;;Algum dos seus filhos/irm‹os n‹o vive mais na comunidade? _ Sim _ N‹o
1;2.2;Numerica;Var0108;q2_p2_r1;;Se sim, quantos?
1;2.3;Categorica exclusiva;Var0109;q2_p3;;Se sim, por que? _ Para trabalhar _ Para buscar oportunidade ...  _ Outro.
1;2.3.1;Textual-numerica;Var0110;q2_p3_r6;;Outro. Qual? __________
1;3.1;Categorica exclusiva;Var0111;q3_p1;;Você _ proprietario do terreno onde mora? _ Sim _ N‹o
1;3.2;Categorica exclusiva;Var0112;q3_p2;;Se sim, qual foi a forma de aquisiç‹o? _ Compra _ Herança ... _ Outra
1;3.3;Categorica exclusiva;Var0113;q3_p3;;Se n‹o, qual _ o seu v’nculo com o propriet‡rio do terreno? _ Filho _ C™njuge ... _ Arrendat‡rio
1;4.1;Categorica exclusiva;Var0114;q4_p1;;Qual _ a forma de abastecimento de energia el_trica na sua casa? _ N‹o tem energia el_trica _ Gerador comunit‡rio ... _ Outro.
1;4.1.1;Textual-numerica;Var0115;q4_p1_r6;;Outro. Qual? __________
1;5.1;Categorica exclusiva;Var0116;q5_p1;;Como _ feito o abastecimento de agua da sua casa? _ Rede de distribuiç‹o _ Poço ... _ Outro.
1;5.1.1;Textual-numerica;Var0117;q5_p1_r5;;Outro. Qual? __________
1;6.1;Categorica exclusiva;Var0118;q6_p1;;Como _ tratada a ‡gua para beber na sua casa? _ ƒ filtrada _ ƒ tratada com cloro/hipoclorito/‡gua sanit‡ria _ ƒ fervida _ Outro.
1;6.1.1;Textual-numerica;Var0119;q6_p1_r4;;Outro: __________
1;7.1;Categorica exclusiva;Var0120;q7_p1;;O que _ feito com o lixo da casa? _ ƒ queimado _ ƒ enterrado ... _ Outro.
1;7.1.1;Textual-numerica;Var0121;q7_p1_r5;;Outro: __________
1;8.1;N‹o h‡ (enunciado de quest‹o);N‹o h‡ (enunciado de quest‹o);;;Você tem acesso ˆ informaç‹o por quais meios?
1;8.1.1;Categorica variada;Var0122;q8_p1_r1;;_ Televis‹o
